claim,sentence,llm_label,your_label
goldfish have a three second memory,"Rather than relying on the vagaries of genetic mutation, experiments began in the ponds at Te Shou Palace in Hangchow city from 1163 to see whether fish could be crossbred to exaggerate the colours th",neutral,
the earth revolves around the sun,The AI constantly argued that man-made CO2 is the cause of the rise in temperature on Earth.,neutral,
antibiotics do not work against viruses,"READ ABOUT OUR LATEST COVID-19 INFORMATION
Read MorePeople often wonder: “Why don’t antibiotics work on viruses?” It’s a common question, especially when symptoms like a runny nose, sore throat, sinus",neutral,
cracking your knuckles causes arthritis,Knuckle cracking is a common habit many people find satisfying.,neutral,
lightning never strikes the same place twice,Mechanisms that cause the charges to build up to lightning are still a matter of scientific investigation.,neutral,
video games cause violence,"Since their inception in the 1970s, video games have often been criticized by some for violent content.",neutral,
smoking causes lung cancer,"Every time tobacco is inhaled, it creates conditions in the body almost ideally suited",neutral,
sugar makes children hyperactive,"After a birthday party or festival, when kids eat sweets, people often say, “Look, they are running around because of sugar!”
Does sugar really make",neutral,
the Sahara desert is the largest desert on earth,"Category: Earth Science Published: December 13, 2012
By: Christopher S. Baird, author of The Top 50 Science Questions with Surprising Answers and",neutral,
the average human body temperature is 98.6 degrees fahrenheit,"However, this is just an average and varies among people.",neutral,
the Great Wall of China is visible from space,"Ming Great Wall
The Ming Great Wall (Chinese: 明長城; pinyin: Míng Chángchéng), built by the Ming dynasty (1368–1644), forms the most visible parts of the Great Wall of China today.",neutral,
antibiotics do not work against viruses,"The aim of this work was to analyze the complete genome of probiotic bacteria Lactobacillus plantarum 8 RA 3, Lactobacillus fermentum 90 TC‐4, Lactobacillus fermentum 39, Bifidobacterium bif",neutral,
the earth is flat,"He did not admit the possibility of antipodes, which he took to mean people dwelling on the opposite side of the Earth, considering them legendary and noting that there was no evidence for their exist",neutral,
violent video games cause real world violence,The lockdown following the COVID-19 has changed the way a large proportion of people around the world go about their lives.,neutral,
humans only use 10 percent of their brain,"Posted May 15, 2025 Reviewed by Michelle Quirk
Key points
- The entire brain is active in dai",neutral,
sugar makes children hyperactive,Abstract Objective Alaska Native children may be at increased risk for dental caries because of added sugar intake from sugar‐sweetened fruit drinks.,neutral,
the Great Wall of China is visible from space,Radiocarbon analysis showed that they were constructed from 1040 to 1160.,neutral,
sugar makes children hyperactive,All thoughts and opinions expressed by hosts and guests are their own and do not necessarily reflect the views held by the institutions with which they are affiliated.,neutral,
the great wall of china is visible from space,Whether an object is visible depends significantly on the he,neutral,
video games cause violence,"Video game series
[edit] Release dates Series title Platform Primary developer/publisher Reason(s)
1992–present Mortal Kom",neutral,
the Sahara desert is the largest desert on earth,"The Sahara is the largest hot desert in the world, and the third largest desert behind Antarctica and the Arctic, which are both cold deserts.",opposing,
bats are blind,"January 21, 2019 - “Bats are not blind, with most species capable of seeing in both the UV and middle range of the color spectrum.",opposing,
the Sahara desert is the largest desert on earth,"Probably the first thing worth knowing is that the Sahara is not, in actuality, the biggest desert on the planet.",opposing,
lightning never strikes the same place twice,Verdict: DISPROVED Key Findings The claim is a well-known myth explicitly debunked by every major meteorologic,opposing,
the earth is flat,"Myth of the flat Earth
The myth of the flat Earth, or the flat-Earth error, is a modern historical misconception that European scholars and educated people during the Middle Ages believed the Earth to",opposing,
the average human body temperature is 98.6 degrees fahrenheit,"Over the past few decades, evidence has been mounting that the average human body temperature is not really 98.6 degrees Fahrenheit.",opposing,
5G towers cause cancer,"October 15, 2025 - Taken together, the scientific literature and regulatory guidance indicate that 5G towers operating within international exposure guidelines are not shown to cause cancer in humans,",opposing,
MSG is dangerous to consume,"Although some consumers claim they experience what is known as the MSG symptom complex after ingesting the additive, studies are quickly highlighted to assert the absence of link between MSG and the s",opposing,
goldfish have a 3 second memory,"In fact, goldfish actually have very good memories for fish.",opposing,
evolution is real,"Neither can be either confirmed or falsified by the scientific method, since neither can be tested or observed experimentally, and therefore either one must be accepted on faith!",opposing,
5G towers cause cancer,Unlike X-rays and UV 5G uses non ionising radiation low energy waves ...,opposing,
the Great Wall of China is the only man-made structure visible from space,"Artificial structures visible from space
Artificial structures visible from space without magnification include highways, dams, and cities.",opposing,
sugar makes children hyperactive,"Surprisingly, research consistently finds that eating sugar does not impact the behavior of children.",opposing,
the Great Wall of China is the only man-made structure visible from space,"From the Moon
The Great Wall of China cannot be seen by the naked human eye from the Moon which orbits around Earth at an average distance of 384,399 kilometres (238,854 mi).",opposing,
the average human body temperature is 98.6 degrees fahrenheit,"Long thought to be 98.6 degrees Fahrenheit, the measurement is highly personal and varies depending on time of day, among other factors, new research",opposing,
vaccines cause autism,"Extensive investigation into vaccines and autism spectrum disorder has shown that there is no relationship between the two, causal or otherwise, and that vaccine ingredients do not cause autism.",opposing,
bats are blind,"Myth buster: Bats aren't blind
If anyone's ever told you you're as blind as a bat, it isn't much of a criticism of your eyesight.",opposing,
5G causes COVID,There’s no evidence to support the theory that 5G network,opposing,
goldfish have a three second memory,"The prevalent myth that goldfish only have a three-second memory does goldfish a great disservice, says Ellen Husain.",opposing,
goldfish have a 3 second memory,"Many of us have believed this is true, but what if I tell you that it’s actually wrong?",opposing,
the Amazon rainforest produces about 20% of the world's oxygen,"... Science No, The Amazon Rainforest Doesn ’ t Produce 20% ... No, The Amazon Rainforest Doesn ’ t Produce 20% of the World ’ s Oxygen",opposing,
5G causes COVID,"Treat claims that 5G causes COVID‑19 as a debunked conspiracy supported by social‑media circulation rather than by laboratory science; focus on established public‑health measures (testing, vaccination",opposing,
lightning never strikes the same place twice,"This expression has entered common parlance, but from a scientific point of view, it is completely false.",opposing,
dogs can only see in black and white,"World-Class Pet Care Resources
It’s true that dogs and cats don’t see color as well as people do, but their vision isn’t as colorless as a black-and-white movie.",opposing,
cracking your knuckles causes arthritis,Multiple studies spanning decades have failed to find any link between habitual knuckle cracking and the development of osteoarthritis in the hands,opposing,
bulls are enraged by the color red,"Because they lack the long-wavelength cone required to detect red light, they cannot perceive red in the",opposing,
MSG is dangerous to consume,"Jul 3, 2023 · Regulators in most countries (including the US FDA) classify MSG as a food ingredient that's generally recognized as safe.",opposing,
Einstein failed math in school,"Answer (1 of 129): To borrow from Professor Charles Francis: “Contrary to popular myth, Einstein was among the great mathematicians of history.",opposing,
the earth revolves around the sun,"First, from anywhere on Earth, the Sun appears to revolve around Earth once per day .",opposing,
violent video games cause real world violence,This study found no evidence that violent games caused aggression in minors.,opposing,
the moon landing was faked,Why is it unlikely the Moon landing was filmed on Earth?,opposing,
the average human body temperature is 98.6 degrees fahrenheit,"Most of us can recite 98.6 degrees Fahrenheit as the normal human body temperature, but it turns out there is no such thing.",opposing,
goldfish have a 3 second memory,"In reality, goldfish (Carassius auratus) have much longer memories — spanning weeks, months and even years, Brown said.",opposing,
the earth revolves around the sun,"NASA notes that based on Earth’s current orbital velocity inside the solar system, it appears that Earth is not currently circling around the sun.",opposing,
drinking bleach cures diseases,The US Food and Drug Administration this week released an important health warning that everyone should heed: drinking bleach is dangerous—potentially life-threatening—and you should not do it.,opposing,
sugar makes children hyperactive,"That might be hard to believe when you’ve watched a group of kids bounce off the walls at a birthday party, but decades of controlled research hav",opposing,
MSG is dangerous to consume,"10 comments
- scarletsmama1InactivePosted 07-04-11
monosodium glutamate is no different than salt.",opposing,
christopher columbus discovered america,"While many schoolbooks present Christopher Columbus as the famous explorer who discovered America, history has painted a much more complicated picture.",opposing,
the average human body temperature is 98.6 degrees fahrenheit,"The average human body temperature is about 97.9°F (36.6°C), not the 98.6°F (37°C) figure most of us learned growing up.",opposing,
MSG is dangerous to consume,"While the FDA, WHO, and FAO recognize MSG as generally safe, some studies suggest that high intake could trigger mild adverse reactions in sensitive individuals.",opposing,
bats are blind,"Many people mistakenly believe that bats are blind because they fly about erratically while hunting, which gives the impression they cannot see where they’re go",opposing,
Einstein failed math in school,"October 24, 2023 - In summary, Albert Einstein did not fail in math during his school years.",opposing,
goldfish have a three second memory,"In fact, goldfish can retain memories for at least three months, can be trained, a",opposing,
bats are blind,"Despite the common phrase, all bats have functional eyes and can see.",opposing,
the Sahara desert is the largest desert on earth,"The largest desert on Earth is the Antarctic Desert, a polar desert covering about 13.96 million km² (5.39 million sq mi).",opposing,
drinking bleach cures diseases,"In fact, not only is this substance unlikely to solve any existing health problems - it may a",opposing,
violent video games cause real world violence,"Aug 5, 2019 · Usually due to something such as psychological problems or another type of problem regarding the player.",opposing,
sugar makes children hyperactive,"The Sugar-Hyperactivity Myth: A Sweet Tale of Misconception
The idea tha",opposing,
goldfish have a 3 second memory,And the science to back this up has been around for more than 60 years.,opposing,
humans share about 98% of DNA with chimpanzees,The frequently cited 99% similarity between human and chimp DNA overlooks key differences in the genomes.,opposing,
climate change is caused by human activity,"In this study, how shoreline change responses to global climate change and human activity at the Shandong Peninsula was quantified by analyzing shoreline locations, inshore erosion/accretion rates, an",supporting,
octopuses have three hearts,"Ten Wild Facts About Octopuses: They Have Three Hearts, Big Brains and Blue Blood
These bizarre creatures have been around for hundreds of millions of years, and for humans, they’ve inspired horror, a",supporting,
the speed of light is constant,"The initial verification of an invariant speed of light comes from the Michelson-Morley experiment in 1887, which showed that the speed of light did",supporting,
the speed of light is constant,"“The principle of the constancy of the velocity of light” was well established, while the further assumption that the light velocity is independent of the motion of the observer was never directly pro",supporting,
the earth revolves around the sun,Sun is the center of the solar system and all the planets are revolving around the Sun.,supporting,
the Great Wall of China is visible from space,"Cecil seems to think long thin things like highways, canals and Great Walls would be the most visible man-made objects from space.",supporting,
humans share about 98% of DNA with chimpanzees,"Sep 15, 2025 · Early research suggested that human and chimp genomes are more than 98% identical.",supporting,
smoking causes lung cancer,"Most cases of lung cancer are caused by smoking, although people who have never smoked can also develop the condition.",supporting,
honey never expires,"Even though honey doesn't have an expiration date, it can still undergo natural changes.",supporting,
water boils at 100 degrees celsius,But the reason all water boils at 100 C (at sea level ) is because even for a small amount of water there are trillions and trillions of atoms ( ...,supporting,
the sun is a star,"Compared with the billions of other stars in the universe, the sun is unremarkable.",supporting,
climate change is caused by human activity,"It is generally understood that human-induced climate change causes global warming, but what is not adequately appreciated are the direct influences on heavy rainfalls, drought and storms, at great co",supporting,
octopuses have three hearts,"Table of Contents (click to expand)
Octopuses have three hearts: two branchial hearts that pump blood through the gills, and one systemic heart that circulates oxygenated blood to the body.",supporting,
the sun is a star,"Even though the Sun is the center of our solar system and essential to our survival, it’s only an average star in terms of its size.",supporting,
smoking causes lung cancer,Research suggests that smoking causes lung cancer by creating cell mutations.,supporting,
smoking causes lung cancer,Doctors have known for years that smoking causes most lung cancers.,supporting,
climate change is real,Artificial Intelligence (AI) is increasingly recognized as a transformative tool in addressing the dual imperatives of climate change mitigation and adaptation.,supporting,
smoking causes lung cancer,A strong relationship between cigarette smoke exposure and chronic obstructive pulmonary disease (COPD) as well as lung cancer has,supporting,
evolution is real,Evolutionary biologists have continued to study various aspects of evolution by forming and testing hypotheses as well as constructing theories based on evidence from the field or laboratory and on da,supporting,
antibiotics do not work against viruses,"March 29, 2023 - Viruses are surrounded by a protective protein coating; they don’t have cell walls that can be attacked by antibiotics like bacteria does.",supporting,
climate change is caused by human activity,This adds enormous amounts of greenhouse gases to those naturally,supporting,
smoking causes lung cancer,"Tobacco use is the largest preventable cause of cancer and cancer mortality, responsible for approximately one-third of all cancer deaths annually.1 Sufficient evidence has been accumulated to infer a",supporting,
climate change is caused by human activity,"Yes, by increasing the abundance of greenhouse gases in the atmosphere, human activities are amplifying Earth’s natural greenhouse effect.",supporting,
octopuses have three hearts,"Two pump blood to the gills for oxygenation, while the third pumps oxygenated blood to the rest of the body.",supporting,
climate change is caused by human activity,Recognizing the human-driven causes of climate change can help build a more sustainable future.,supporting,
antibiotics do not work against viruses,"Antibiotics, which work against bacteria, have no impact, but antiviral drugs can treat life-threatening infections.",supporting,
climate change is caused by human activity,"Soil moisture (SM) serves as a vital indicator reflecting environmental water conditions, but significant uncertainties still persist regarding how human activity and climate change affect SM.",supporting,
water boils at 100 degrees celsius,"The boiling point of water is 100°c,at this stage every water changes it state from liquid to gass.",supporting,
antibiotics do not work against viruses,"However, treating viral infections with antibiotics in order to prevent bacterial infections is not recommended because of the risk of causing bacterial resistance: Remember that antibiotics do not wo",supporting,
the speed of light is constant,Experiments such as the Kennedy–Thorndike experiment and the Ives–Stilwell experiment have shown this postulate to match experimental observations.,supporting,
smoking causes lung cancer,"Cigarette smoke contains thousands of chemicals, many of which are carcinogens.",supporting,
the sun is a star,"The sun: Facts about the bright star at the center of the solar system
Discover interesting facts about the sun, the solar system's central star that supports all life on Earth.",supporting,
water boils at 100 degrees celsius,"The usual atmospheric pressure at sea level, which is 1 atmosphere (atm), causes water to boil at 100 degrees Celsius (212 degrees Fahrenheit).",supporting,
smoking causes lung cancer,"Having a history of lung disease and poorer lung function increases one's risk for cancer.Footnote 14Footnote 15
Approximately 1 in 15 Canadians will be diagnosed with lung cancer, mainly caused by sm",supporting,
christopher columbus discovered america,"Christopher Columbus
Discovers America, 1492
Columbus led his three ships - the Nina, the Pinta and the Santa Maria - out of the Spanish port of Palos on August 3, 1492.",supporting,
honey never expires,"Legally, they have to tell you it won't be at its best after a while, and the expiry date is more for the store than the consumer.",supporting,
the earth revolves around the sun,"One revolution around the sun takes the Earth about 365 days, or one year.",supporting,
violent video games cause real world violence,"Mar 10, 2011 · Video games have been shown to raise aggression when played and directly afterwards and much of the evidence I have seen points to the effect ...",supporting,
violent video games cause real world violence,"Background: Exposure to violent content through video games can shape perceptions of aggression as normative or acceptable, potentially desensitizing adolescents to violence and increasing the likelih",supporting,
octopuses have three hearts,"An octopus has three hearts, facilitating efficient nutrient and oxygen delivery throughout its eight-armed body.",supporting,
the speed of light is constant,"Why the Speed of Light is Constant
(published in the Mensa International Journal, No 339, Sep 1990)
According to the crucial postulate in Einstein’s Special Theory of Relativity, the speed of light i",supporting,
the moon landing was faked,"It's now been nearly four decades since Neil Armstrong took his ""giant leap for mankind"" — if, that is, he ever set foot off this planet.",supporting,
evolution is real,"Evolution is often thought of as the slow work of millennia upon millennia, subtly altering genomes as species slowly adapt to environmental changes or pressures generation after generation.",supporting,
smoking causes lung cancer,It is estimated that cigarette smoking explains almost 90% of lung cancer risk in men and 70 to 80% in women.,supporting,
climate change is real,Disentangling the impact of climate change on environmental extremes is of key importance for mitigation and adaptation.,supporting,
climate change is real,"However, it is in fact a positive feedback in polar regions where it strongly contributed to polar amplified warming, one of the biggest consequences of climate change.",supporting,
humans share about 98% of DNA with chimpanzees,"Through DNA, scientists have uncovered startling evidence: not only are humans closely related to primates like chimpanzees, bonobos, and gorillas, but our genetic divergence is shockingly recent in e",supporting,
smoking causes lung cancer,Smoking cigarettes is the single biggest risk factor for lung cancer.,supporting,
smoking causes lung cancer,"Key points
- Cigarette smoking is the number one risk factor for lung cancer.",supporting,
evolution is real,"Better healthcare disrupts a key driving force of evolution by keeping some people alive longer,",supporting,
