claim,category,source_title,source_type,expected_stance,sent_index,text,word_count,label,confidence,p_supp,p_neut,p_opp,mismatch_type,is_hard_mismatch,prev_label,next_label,has_negation,has_quotes,has_hedge,has_myth_cue,claim_has_negation
vaccines cause autism,factual_false,Vaccines and autism,encyclopedia,opposing,0,"The scientist Peter Hotez researched the growth of the false claim and concluded that its spread originated with Andrew Wakefield's fraudulent 1998 paper, and that no prior paper supports a link.",31,neutral,0.9824,0.001,0.9824,0.0167,neut_in_opp_source,False,,neutral,True,True,True,False,False
vaccines cause autism,factual_false,Vaccines cause autism,web,opposing,2,"The scientist Peter Hotez researched the growth of the false claim and concluded that its spread originated with Andrew Wakefield's fraudulent 1998 paper, and that no prior paper supports a link.",31,neutral,0.9824,0.001,0.9824,0.0167,neut_in_opp_source,False,opposing,neutral,True,True,True,False,False
christopher columbus discovered america,factual_false,Origin theories of Christopher Columbus,encyclopedia,opposing,3,"In his 1942 book Admiral of the Ocean Sea, Samuel Eliot Morison refuted each argument, starting with the simple refute that there is abundant evidence to the contrary.",28,neutral,0.979,0.0043,0.979,0.0166,neut_in_opp_source,False,neutral,neutral,False,False,True,False,False
5G causes COVID,factual_false,Coronavirus: 5G and microchip conspiracies around the world ,web,opposing,1,We've picked out some of the most pervasive false claims and look at how far they've travelled.,17,neutral,0.9805,0.003,0.9805,0.0165,neut_in_opp_source,False,neutral,opposing,False,True,True,False,False
the moon landing was faked,factual_false,Moon landing conspiracy theories in popular culture,encyclopedia,opposing,2,"- The August 27, 2008, MythBusters episode ""NASA Moon Landing"" tested and debunked some common claims made by Moon landing conspiracy theorists.",22,neutral,0.9546,0.0293,0.9546,0.0161,neut_in_opp_source,False,supporting,neutral,False,True,True,False,False
the great wall of china is visible from space,factual_false,great wall of china not visible from space,web,opposing,16,"i think .. now that i knew thats its not true i ned to start making my papers about that”rumors that the great wall has a reflection in the moon” i ned to prove it to my classmates that its not true
Y",44,neutral,0.9819,0.0065,0.9819,0.0117,neut_in_opp_source,False,neutral,,True,True,True,False,False
the moon landing was faked,factual_false,Moon landing conspiracy theories,encyclopedia,opposing,3,"- This theory was further debunked on the MythBusters episode ""NASA Moon Landing"".",13,neutral,0.9502,0.0401,0.9502,0.0096,neut_in_opp_source,False,neutral,neutral,False,True,True,False,False
the moon landing was faked,factual_false,Moon landing conspiracy theories,encyclopedia,opposing,2,"Footage was filmed while the rover was in motion, and yet no evidence is present of any change in the size of the background.",24,neutral,0.9868,0.0056,0.9868,0.0075,neut_in_opp_source,False,neutral,neutral,True,False,True,False,False
humans only use 10 percent of their brain,factual_false,The Myth of the One Percent,encyclopedia,opposing,4,refuted by modern research that is able to look at entire genomes.,12,neutral,0.9927,0.001,0.9927,0.0065,neut_in_opp_source,False,neutral,opposing,False,False,True,False,False
sugar makes children hyperactive,factual_false,Sugar-sweetened beverages consumption trajectories and emoti,academic,opposing,8,"However, no significant difference in peer relationship problems was observed for children in the low-rapid increase group (β = -0.026, 95 % CI: -0.075 to 0.023) compared with the low-stable increase ",32,neutral,0.9932,0.001,0.9932,0.0057,neut_in_opp_source,False,neutral,neutral,True,False,True,False,False
christopher columbus discovered america,factual_false,Origin theories of Christopher Columbus,encyclopedia,opposing,1,"In 1913 all these claims were bluntly refuted by American historian Henry Vignaud, based on facts where he clearly stated his Genoese origins, and where a vast amount of documents showed that La Riega",48,neutral,0.9927,0.002,0.9927,0.0056,neut_in_opp_source,False,neutral,neutral,False,True,True,False,False
sugar makes children hyperactive,factual_false,"No, sugar doesn’t make your kids hyperactive - The Conversat",web,opposing,7,"Flawed by design
The methods used in the studies were flawed, particularly with respect to adequate control groups (who did not restrict foods) and failed to establish a causal link between sugar cons",36,neutral,0.9785,0.0166,0.9785,0.005,neut_in_opp_source,False,neutral,opposing,True,False,True,False,False
the great wall of china is visible from space,factual_false,Great Wall of China,encyclopedia,opposing,1,"Even though the myth has been thoroughly debunked, it is still ingrained in popular culture.",15,neutral,0.9927,0.0028,0.9927,0.0043,neut_in_opp_source,False,opposing,neutral,False,False,True,False,False
we only use 10% of our brains,factual_false,Do People Only Use 10 Percent of Their Brains? | Scientific,web,opposing,10,"So far, there's no evidence that there is one site for consciousness, which leads experts to believe that it is truly a collective neural effort.",25,neutral,0.9956,0.0004,0.9956,0.0042,neut_in_opp_source,False,opposing,neutral,True,True,True,False,False
the earth is flat,factual_false,Myth of the flat Earth,encyclopedia,opposing,6,"Although the misconception has been frequently refuted in historical scholarship since at least 1920, it has nonetheless persisted in popular culture and even some school textbooks into the 21st centu",30,neutral,0.9946,0.0017,0.9946,0.0038,neut_in_opp_source,False,neutral,opposing,False,False,True,True,False
humans only use 10 percent of their brain,factual_false,Do People Only Use 10 Percent of Their Brains? | Scientific ,web,opposing,10,"So far, there's no evidence that there is one site for consciousness, which leads experts to believe that it is truly a collective neural effort.",25,neutral,0.9961,0.0003,0.9961,0.0037,neut_in_opp_source,False,opposing,neutral,True,True,True,False,False
cracking your knuckles causes arthritis,factual_false,Does Cracking Your Knuckles Actually Cause Arthritis?,web,opposing,7,"At the end of six decades, he found no significant difference in arthritis or joint health between the two hands.",20,neutral,0.9951,0.0014,0.9951,0.0035,neut_in_opp_source,False,neutral,neutral,True,False,True,False,False
shaving makes hair grow back thicker,factual_false,Shaving & Hair: Does It Grow Back Thicker? The Skin Company,web,opposing,9,"The Truth About Shaving: How it Affects Hair Texture and Density
Now that we’ve debunked the myth, let’s discuss what actually happens when you shave.",25,neutral,0.9961,0.001,0.9961,0.0029,neut_in_opp_source,False,opposing,opposing,False,False,True,False,False
the Great Wall of China is visible from space,factual_false,Great Wall of China,encyclopedia,opposing,1,"Even though the myth has been thoroughly debunked, it is still ingrained in popular culture.",15,neutral,0.9946,0.0023,0.9946,0.0029,neut_in_opp_source,False,opposing,supporting,False,False,True,False,False
lightning never strikes the same place twice,factual_false,"Claim Verification: ""Lightning never strikes the same place ",academic,opposing,1,Verdict: DISPROVED Key Findings The claim is a well-known myth explicitly debunked by every major meteorological authority.,17,neutral,0.9941,0.0031,0.9941,0.0026,neut_in_opp_source,False,supporting,opposing,False,False,True,False,True
sugar makes children hyperactive,factual_false,Sugar,encyclopedia,opposing,2,"Cancer Council Australia have stated that ""there is no evidence that consuming sugar makes cancer cells grow faster or cause cancer"".",21,neutral,0.9971,0.0005,0.9971,0.0026,neut_in_opp_source,False,neutral,neutral,True,True,True,False,False
the Great Wall of China is the only man-made structure visible from space,factual_false,Great Wall of China,encyclopedia,opposing,1,"Even though the myth has been thoroughly debunked, it is still ingrained in popular culture.",15,neutral,0.9951,0.0023,0.9951,0.0024,neut_in_opp_source,False,neutral,neutral,False,False,True,False,False
you lose most body heat through your head,factual_false,Fan death,encyclopedia,opposing,8,"This article also noted there was ""no evidence"" the fan caused the death, however.",14,neutral,0.9971,0.001,0.9971,0.0022,neut_in_opp_source,False,neutral,neutral,False,True,True,False,False
christopher columbus discovered america,factual_false,Origin theories of Christopher Columbus,encyclopedia,opposing,4,She claimed (with no evidence) that Columbus referred to the Jewish High Holidays in his journal during the first voyage.,20,neutral,0.981,0.0173,0.981,0.0018,neut_in_opp_source,False,neutral,neutral,True,False,True,False,False
MSG is dangerous to consume,factual_false,MSG – How Dangerous Is It? - CoreLife Healthcare,web,opposing,8,"Some complaints include:
-heart palpitations
-chest pain
Despite these complaints, researchers have found little to no evidence to support a definitive link between MSG and such symptoms.",27,neutral,0.9937,0.005,0.9937,0.0014,neut_in_opp_source,False,neutral,neutral,True,False,True,False,False
goldfish have a three second memory,factual_false,"Goldfish Have a Three-Second Memory, Right? Scientists Say .",web,opposing,2,"However, recent scientific research has debunked this myth, revealing that goldfish possess much more impressive cognitive abilities than previously believed.",20,neutral,0.9985,0.0001,0.9985,0.0014,neut_in_opp_source,False,neutral,neutral,False,False,True,False,False
humans only use 10 percent of their brain,factual_false,"No, we don’t use only 10% of our brains!",web,opposing,1,"In this Luc Besson movie, released in 2014, most of what Professor Samuel Norman says is a false claim about the brain.",22,neutral,0.9985,0.0003,0.9985,0.0013,neut_in_opp_source,False,neutral,neutral,False,False,True,False,False
sugar makes children hyperactive,factual_false,Does sugar really make children hyperactive? - Medical News ,web,opposing,2,"After analysis, the authors concluded:
“For the children described as sugar-sensitive, there were no significant differences among the three diets in any of 39 behavioral and cognitive variables.",28,neutral,0.998,0.0006,0.998,0.0013,neut_in_opp_source,False,neutral,neutral,True,True,True,False,False
MSG is dangerous to consume,factual_false,Anthony William,encyclopedia,opposing,12,"Australian dietitian Stefanie Valakas, interviewed by a reporter with news.com.au, also states that there is no evidence for these health claims and that any fiber benefits of celery are lost in the j",34,neutral,0.998,0.0008,0.998,0.0011,neut_in_opp_source,False,neutral,,True,False,True,False,False
MSG is dangerous to consume,factual_false,Anthony William,encyclopedia,opposing,8,"There's no scientific research behind [the movement], and no evidence to support that it does the things it claims to do.",21,neutral,0.999,0.0003,0.999,0.0007,neut_in_opp_source,False,neutral,neutral,True,True,True,False,False
sugar makes children hyperactive,factual_false,Why Does My Child Get Hyper After Eating Sugar?,web,opposing,7,"His claims gained enormous public traction, but double-blind trials designed by the broader medical community repeatedly failed to confirm them.",20,neutral,0.9985,0.001,0.9985,0.0006,neut_in_opp_source,False,neutral,neutral,False,False,True,False,False
the Amazon rainforest produces about 20% of the world's oxygen,factual_false,2019 Amazon rainforest wildfires,encyclopedia,opposing,11,"""Jair Bolsonaro claims NGOs behind Amazon forest fire surge – but provides no evidence"".",14,neutral,0.999,0.0003,0.999,0.0006,neut_in_opp_source,False,neutral,neutral,True,True,True,False,False
the Amazon rainforest produces about 20% of the world's oxygen,factual_false,2019 Amazon rainforest wildfires,encyclopedia,opposing,13,"""Jair Bolsonaro claims NGOs behind Amazon forest fire surge – but provides no evidence"".",14,neutral,0.999,0.0003,0.999,0.0006,neut_in_opp_source,False,neutral,,True,True,True,False,False
the Sahara desert is the largest desert on earth,factual_false,Tropical desert,encyclopedia,opposing,6,"No significant populations can survive in tropical deserts due to extreme aridity, heat and the paucity of vegetation; only specific flora and fauna with special behavioral and physical mechanisms are",31,neutral,0.999,0.0003,0.999,0.0005,neut_in_opp_source,False,neutral,neutral,True,False,True,False,False
the Amazon rainforest produces about 20% of the world's oxygen,factual_false,2019 Amazon rainforest wildfires,encyclopedia,opposing,6,"Bolsonaro had claimed that the fires had been deliberately started by environmental NGOs, although he provided no evidence to back up the accusation.",23,neutral,0.9995,0.0003,0.9995,0.0004,neut_in_opp_source,False,neutral,neutral,True,False,True,False,False
