id,claim,sentence,your_label,is_truncated
55,the earth is flat,"Sean Bryant, Science Reference Specialist, Science, Technology and Business Division
Note: This guide is adapted from a 1998 reference list created by Ruth Freitag titled ""The Flat Earth and its Advoc",neutral,yes
56,humans only use 10 percent of their brain,"Adding to that mystery is the contention that humans ""only"" employ 10 percent of their brain.",neutral,no
57,the sun is a star,Contact us Developers Policy & Safety How YouTube works Test new features NFL Sunday Ticket © 2026 Google LLC,neutral,yes
58,octopuses have three hearts,"Two pump blood to the gills for oxygenation, while the third pumps oxygenated blood to the rest of the body.",supporting,no
59,the great wall of china is visible from space,The myth regarding the Great Wall of China can be seen from outer space and has been circulated for hundreds of years.,opposing,no
60,humans only use 10 percent of their brain,"It’s one of Hollywood’s favorite bits of pseudoscience: human beings use only 10 percent of their brain, and awakening the remaining 90 percent—supposedl",opposing,yes
61,the earth revolves around the sun,"1 In 4 Americans Thinks The Sun Goes Around The Earth, Survey Says
A quarter of Americans surveyed could not correctly answer that the Earth revolves around the sun and not the other way around, accor",neutral,yes
62,climate change is caused by human activity,"March 3, 2026 - (This type of climate change is ... beings.”) The unchecked burning of fossil fuels over the past 150 years has drastically increased the presence of atmospheric greenhouse gases, most",neutral,yes
63,goldfish have a three second memory,Goldfish are known for their orange hues and terrible memories.,supporting,no
64,bulls are enraged by the color red,"Contrary to popular belief, bulls do not specifically target or attack the",neutral,yes
65,cracking your knuckles causes arthritis,"For many people, cracking stiff joints can help relieve tension and discomfort.",neutral,no
66,bulls are enraged by the color red,"They are red-green colour blind — cattle have only two cone types, sensitive at about 445 nm (blue) and 555 nm (yellow-gree",opposing,yes
67,lightning never strikes the same place twice,"MythBuster: Lightning Never Strikes the Same Place Twice
Lightning is unpredictable.",opposing,no
68,smoking causes lung cancer,"Key points
- Cigarette smoking is the number one risk factor for lung cancer.",supporting,no
69,the Great Wall of China is visible from space,"Jan 18, 2022 · The Great Wall of China is itself NOT very visible from space; it's certainly long enough, but it's no wider on average than a fairly narrow ...My history teacher insists The Great Wall",opposing,yes
70,the speed of light is constant,"Speed of Light May Not Be Constant, Physicists Say
The speed of light is constant, or so textbooks say.",neutral,no
71,the Great Wall of China is visible from space,"Cecil seems to think long thin things like highways, canals and Great Walls would be the most visible man-made objects from space.",neutral,no
72,goldfish have a 3 second memory,This idea was challenged by a study that found that goldfish remember t,opposing,yes
73,5G towers cause cancer,This is far lower in energy compared to ionizing radiation.,neutral,no
74,the speed of light is constant,This paper shows how the miscalculated result of an experiment caused the birth of the theory of relativity.,neutral,no
75,the great wall of china is visible from space,Choose a legend: The Great Wall of China is the one of the few man-made structures visible from orbit.,supporting,no
76,climate change is caused by human activity,Surveys of scientists' views on climate change – with a focus on human caused climate change – have been undertaken since the 1970s.,neutral,no
77,the earth is flat,They saw the way the Sun’s shadow worked in different plac,neutral,yes
78,honey never expires,"However, certain factors affect the colour and texture of honey in the following conditions:
1.",neutral,no
79,the earth is flat,"Myth of the flat Earth
The myth of the flat Earth, or the flat-Earth error, is a modern historical misconception that European scholars and educated people during the Middle Ages believed the Earth to",opposing,yes
80,the earth revolves around the sun,A lunar day is equal to one lunar month (one synodic orbit around Earth) due to it being tidally locked to Earth.,neutral,no
81,climate change is real,"Despite decades of scientific research, climate change remains one of the most misunderstood issues of our time.",neutral,no
82,MSG is dangerous to consume,"Feb 21, 2024 · No , it's not bad for you, unless you decide to overdose on it.",opposing,no
83,the moon landing was faked,"It's now been nearly four decades since Neil Armstrong took his ""giant leap for mankind"" — if, that is, he ever set foot off this planet.",neutral,no
84,sugar makes children hyperactive,"The Sugar-Hyperactivity Myth: A Sweet Tale of Misconception
The idea tha",opposing,yes
85,honey never expires,Contact us Developers Policy & Safety How YouTube works Test new features NFL Sunday Ticket © 2026 Google LLC,neutral,yes
86,the Great Wall of China is visible from space,Arthur Waldron traced the origin the “Great Wall can be seen from the moon” myth in the book “Great Wall of China.” It was popularized by a 1932 Ripley’s Believe it or Not column (republished many tim,opposing,yes
87,5G towers cause cancer,The National Cancer Institute and the World Health Organization (WHO) emphasize that there is no conclusive evidence linking non-ionizing ra,neutral,yes
88,antibiotics do not work against viruses,"READ ABOUT OUR LATEST COVID-19 INFORMATION
Read MorePeople often wonder: “Why don’t antibiotics work on viruses?” It’s a common question, especially when symptoms like a runny nose, sore throat, sinus",supporting,yes
89,the speed of light is constant,"This changed Newton's mechanics situations involving all motions, especially velocities close to that of light: 18 (known as relativistic velocities).",neutral,no
90,goldfish have a 3 second memory,A 2022 study at Ben-Gurion University even trained goldfish to “drive” a wheeled tank toward a target on land — a feat that requires much more than three seconds of working memory.,opposing,no
91,the Great Wall of China is visible from space,"Automated fact-verification of the claim: ""The Great Wall of China is the only man-made object visible from space with the naked eye.""",neutral,no
92,humans only use 10 percent of their brain,"Posted May 15, 2025 Reviewed by Michelle Quirk
Key points
- The entire brain is active in dai",opposing,yes
93,christopher columbus discovered america,"From a civil liberties point of view, the claim that Christopher Columbus discovered America contains several problematic implications.",opposing,no
94,5G causes COVID,"A 2020 study that monitored data from Google Trends showed that searches related to coronavirus and 5G started at different times, but peaked in the same week of April 5 in six countries.",neutral,no
95,the Amazon rainforest produces about 20% of the world's oxygen,"So, we all came across a number of photos, videos, and articles that state Amazon Rainforest produces 20% of the planet’s oxygen.",neutral,no
96,goldfish have a three second memory,A 2022 study at Ben-Gurion University even trained goldfish to “drive” a wheeled tank toward a target on land — a feat that requires much more than three seconds of working memory.,opposing,no
97,humans only use 10 percent of their brain,"August 29, 2018 - It was the basis of the movie Lucy (2014), which depicted what supposedly would happen if a person actually used all 100% of her brainpower.",neutral,no
98,the Great Wall of China is the only man-made structure visible from space,"May 6, 2025 · Wikipedia says the claim the Great Wall can be seen from space and even the moon is actually from the 18th century.The Great Wall of China is ______ from space.",neutral,no
99,shaving makes hair grow back thicker,Take me as an example… I started growing bald ...,neutral,no
100,evolution is real,Evolutionary biologists have continued to study various aspects of evolution by forming and testing hypotheses as well as constructing theories based on evidence from the field or laboratory and on da,neutral,yes
101,the Amazon rainforest produces about 20% of the world's oxygen,"Why the Amazon doesn’t really produce 20% of the world’s oxygen
The myth that the Amazon rainforest forms the “lungs of the Earth” is overstated.",opposing,no
102,5G causes COVID,There’s no evidence to support the theory that 5G network,opposing,yes
103,climate change is real,13 hours ago - Climate change can also be used more broadly to include changes to the climate that have happened throughout Earth's history as result of natural processes.,neutral,no
104,antibiotics do not work against viruses,Vaccinations against Haemophilus influenzae and Streptococcus pneumoniae have good evidence to support their use.,neutral,no
105,smoking causes lung cancer,"Cigarette smoke contains thousands of chemicals, many of which are carcinogens.",neutral,no
106,the great wall of china is visible from space,"cartoon called it “the mightiest work of man, the only one that would be visible to the",neutral,yes
107,bats are blind,"Decades of research into intelligent animal navigation posits that organisms build and maintain internal spatial representations (or maps) 1 of their environment, that enables the organism to determin",neutral,yes
108,the speed of light is constant,Experiments such as the Kennedy–Thorndike experiment and the Ives–Stilwell experiment have shown this postulate to match experimental observations.,neutral,no
109,lemmings commit mass suicide,This false impression popularized via nature documentaries and folklore is not always best scientifically inaccurate however also a striking instance of how sensationalism can distort herbal phenomena,opposing,yes
110,5G causes COVID,"When the coronavirus spread around the world, conspiracy theorists started spreading inaccurate theories about 5G.",opposing,no
111,the Sahara desert is the largest desert on earth,What makes the Sahara the largest desert in the world?,supporting,no
112,goldfish have a 3 second memory,"Many of us have believed this is true, but what if I tell you that it’s actually wrong?",opposing,no
113,the earth is flat,"Because of the increasing anthropogenic interruption and sea level rise, tidal f",neutral,yes
114,the Great Wall of China is visible from space,"Nov 16, 2006 · Astronauts report it is not easily visible to the naked eye, unlike large cities or airports.",opposing,no
115,5G towers cause cancer,"A 2020 study that monitored data from Google Trends showed that searches related to coronavirus and 5G started at different times, but peaked in the same week of April 5 in six countries.",neutral,no
116,the Great Wall of China is visible from space,"May 6, 2025 · Despite myths to the contrary, the wall isn't visible from the moon, and is difficult or impossible to see from Earth orbit without the high- ...I thought it was a myth that you can see",opposing,yes
117,the Great Wall of China is the only man-made structure visible from space,What makes the Great Wall of China the only man-made object visible from space?,supporting,no
118,climate change is caused by human activity,This adds enormous amounts of greenhouse gases to those naturally,neutral,yes
119,cracking your knuckles causes arthritis,Knuckle cracking is a common habit many people find satisfying.,neutral,no
120,goldfish have a 3 second memory,Why goldfish having a three-second memory is a myth… ...,opposing,no
121,sugar makes children hyperactive,"The Sweet Truth The sugar-hyperactivity myth is based on a single study from the mid 1970s, in which a doctor removed the sugar from one child's diet and that child's behavior improved.",opposing,no
122,bats are blind,Abstract Echolocating bats adapt their emissions to succeed in noisy environments.,neutral,no
123,humans share about 98% of DNA with chimpanzees,"Through DNA, scientists have uncovered startling evidence: not only are humans closely related to primates like chimpanzees, bonobos, and gorillas, but our genetic divergence is shockingly recent in e",neutral,yes
124,drinking bleach cures diseases,Should you worry about drinking a mouthful of bleach ...,neutral,no
125,the speed of light is constant,"Before we can discuss how to travel faster than light, we need to understand why this is a problem in the first place.",neutral,no
126,lemmings commit mass suicide,It’s widely believed that lemmings commit mass suicide by leaping to their deaths from cliffs.,neutral,no
127,octopuses have three hearts,Three hearts have an octopus ... Do u know how many hearts octopus has ?,neutral,no
128,climate change is caused by human activity,Human activity and climate change triggered the expansion of rocky desertification in the karst areas of Southwestern China,neutral,yes
129,the earth is flat,"This was a magical revelation for the Greeks and the Egyptians, who were able to see from the motions of the stars and the way the Sun moved.",neutral,no
130,climate change is caused by human activity,"In this study, how shoreline change responses to global climate change and human activity at the Shandong Peninsula was quantified by analyzing shoreline locations, inshore erosion/accretion rates, an",neutral,yes
131,the speed of light is constant,"Discussion Overview
The discussion revolves around the constancy of the speed of light, exploring its implications in physics, historical experiments that support this constancy, and the theoretical f",neutral,yes
132,shaving makes hair grow back thicker,"Jul 30, 2021 ... Shaving removes the dead portion of hair, not the living section lying below the skin's surface, so it is unlikely to affect the rate or type of growth.",opposing,no
133,the great wall of china is visible from space,"Someone on the webmaster world forum thought the same thing, and another person pointed them to the snopes article showing that the claim was false.",opposing,no
134,honey never expires,Honey can last for thousands of years in sealed pots – it’s even been discovered in Ancient Egyptian tombs.,supporting,no
135,climate change is caused by human activity,"Anthropogenic climate change is caused by human activity, as opposed to changes in climate that may have resulted as part of Earth's natural processes.",supporting,no
136,the great wall of china is visible from space,"Automated fact-verification of the claim: ""The Great Wall of China is the only man-made object visible from space with the naked eye.""",neutral,no
137,5G towers cause cancer,"The WHO states that ""A large number of studies have been performed over the last two decades to assess whether mobile phones pose a potential health risk.",neutral,no
138,honey never expires,"Plus, how to store honey and what to do if it crystalizes.",neutral,no
139,the earth revolves around the sun,"An animal could not learn that the world is round, that the earth revolves round the sun, or the construction of the electric telegraph.",supporting,no
140,honey never expires,Like one of those facts you hear and immediately question.,neutral,no
141,goldfish have a 3 second memory,They can be trained to respond various ways to certai,opposing,yes
142,the earth revolves around the sun,Sun is the center of the solar system and all the planets are revolving around the Sun.,supporting,no
143,the earth is flat,The claims of modern flat Earth proponents are not based on scientific know,opposing,yes
144,honey never expires,The National Honey Board says that over time honey may “darken and lose ...,neutral,no
145,5G towers cause cancer,"Like all mobile technologies, 5G uses radiofrequency (RF) electromagnetic energy to",neutral,yes
146,5G causes COVID,"To improve the quality of mobile network services, 5G comes as a network service ecosystem with low latency, which is 1ms",neutral,yes
147,the Great Wall of China is the only man-made structure visible from space,"From the Moon
The Great Wall of China cannot be seen by the naked human eye from the Moon which orbits around Earth at an average distance of 384,399 kilometres (238,854 mi).",opposing,no
148,antibiotics do not work against viruses,The rapid worldwide spread of antibiotic resistance is quickly becoming an increasingly concerning problem for human healthcare.,neutral,no
149,humans share about 98% of DNA with chimpanzees,"For example, the sequence divergence varies between 0% to 2.66% between non-coding, non-repetitive genomic regions of humans and chimpanzees.",neutral,no
