id,claim,sentence,your_label
44,eating turkey makes you sleepy because of its tryptophan,"However, we don’t consume nearly enough turkey during a holiday smorgasbord — even if we go back for seconds — to create the amount of serotonin needed to make us sleepy, said Steven Malin, an associate professor in the department of kinesiology and health at Rutgers University in New Jersey.",
45,humans only have five senses,It’s our ear canals that are telling us that we are tilting backwards and this changes what we see.,
46,photosynthesis releases oxygen as a byproduct,The life-giving process continues to sustain biodiversity since autotrophs are foundational to nearly every food web on the planet.,
47,pineapple belongs on pizza,"Pineapple belongs on pizza because it introduces a sweet and acidic counterpoint that complements the savory and umami flavors already present, creating a more nuanced and ultimately more satisfying culinary experience.",
48,organic food is healthier than conventional food,"An estimated 90–100% of conventional chicken contains, at least, one form of antibiotic resistance microorganism, while organic chicken has been found to have a lower incidence at 84%.",
49,keeping animals in zoos is ethical,"- ^ ""The Moral Justification for Keeping Animals in Captivity"" (PDF).",
50,touching a baby bird causes its mother to abandon it,A thorough look at The Seattle Times archive reveals numerous reports on avian behaviour but none to validate the abandonment claim.,
51,the speed of light is constant,From his equations it was possible to calculate that the resulting electromagnetic field travels at a constant speed relative to all observers.,
52,glass is actually a slow-flowing liquid,"This gives them a melted look, but does not mean glass is a true liquid.",
53,online learning is as effective as in-person learning,"While that shift may have expedited one-to-one initiatives or raised awareness about the lack of internet access, inequitable education still exists, and should be top of mind as we plan ahead.",
54,sugar makes children hyperactive,"The researchers found that adolescents who ate a high-sugar breakfast, particularly those with teacher-reported hyperactivity, showed improved behavior on some measures when compared to children who ate a sugar-free breakfast.",
55,streaming services have benefited musicians financially,"Image: Unsplash/Filip
- Worldwide recorded music revenues totalled $26.2 billion last year, up 9% from the previous year’s total of $24 billion, as this Statista chart shows.",
56,the coriolis effect determines which way water drains in a sink,"Author: Science Reference Section, Library of Congress
Have a question?",
57,smoking causes lung cancer,"Clinical symptoms
[edit] Most cases of SRIF are discovered incidentally by pathologists examining lung tissue from lungs that have been removed surgically from patients with lung cancer.",
58,electric cars are better for the environment than gasoline cars,EVs have a large potential for greenhouse gas emissions reductions when coupled with a low-carbon electricity sector.,
59,helium is lighter than air,"In 1972, the same phenomenon was observed in helium-3, but at temperatures much closer to absolute zero, by American physicists Douglas D. Osheroff, David M. Lee, and Robert C. Richardson.",
60,goldfish have a three second memory,"MYTH: Goldfish memory spans are just three seconds long
FACT: Goldfish can remember things for months!",
61,iron is attracted to magnets,"2 weeks ago - Magnetism was first discovered in the ancient world when people noticed that lodestones, naturally magnetized pieces of the mineral magnetite, could attract iron.",
62,the earth's inner core is roughly as hot as the surface of the sun,"This means the core of our Earth is actually hotter than the surface of the Sun.Finding out that the Earth's inner core is actually 1000 degrees hotter than expected won't have any immediate repercussions, but that's just how science goes.",
63,smoking causes lung cancer,We know that smoking cigarettes increases your risk of cancer.,
64,ostriches bury their heads in the sand when frightened,"However, their heads are relatively small, and they do have a few behaviors that, from a distance, may look like they are burying their heads.",
65,renewable energy can fully replace fossil fuels,"The potential biofuel blends (FT-SPK, HEFA-SPK, ATJ-SPK and HFS-SIP) and their use as an alternative to kerosene-type fuels in the aviation industry have also been assessed.",
66,penguins live almost entirely in the southern hemisphere,"Food Availability: A Southern Bounty
The Southern Ocean surrounding Antarctica is incredibly rich in marine life, especially krill.",
67,college education is worth the cost,"In 2023–24, the average published tuition and fees for full-time students at a public four-year in-state institution was $11,260, 2.5 percent higher year-over-year before adjusting for inflation.",
68,camels store water in their humps,"- ^ Makhdoomi, Dil M.; Gazi, Mohsin A.; ul Nabi, Showkat; Ahmed, Shakeel (2013).",
69,dogs can only see in black and white,"For example, a rainbow to a dog would be as follows: dark blue, light blue, light gray, light yellow, dark brownish yellow, and dark gray.",
70,remote work is more productive than office work,"Low Work-Life Balance and Increased Stress
The rigid schedules and lack of flexibility associated with office work can lead to a low work-life balance, increased stress, and decreased happiness.",
71,capitalism is better than socialism,"According to Grossmann, capitalism would collapse after a series of business cycles, because of insufficient surplus value production.",
72,spiders are arachnids rather than insects,The rather large and well-sclerotized members of the oribatid family Ceratozetidae are abundant only in the best heated habitats with an extended vegetation season.,
73,the average human body temperature is 98.6 degrees fahrenheit,You can use an online tool from Stanford University to figure out your personal body temperature.,
74,organic food is healthier than conventional food,This ‘organic’ yield gap can vary by crop type and several other factors; studies suggest that it is in a magnitude of 20–25% under experimental conditions and up to 50% under practical farming conditions [8.Seufert V. Ramankutty N. Many shades of gray - the context-dependent performance of organic agriculture.Sci.,
75,touching a baby bird causes its mother to abandon it,This then causes the mother bird to become afraid of possible predators and to leave its children to the elements.,
76,water boils at 100 degrees celsius,"When you boil water on a mountain top, where air pressure is less than at sea level, you can boil water at a temperature less than 100 degrees Celsius.",
77,water expands when it freezes,Stresses globally increase while locally stalling at a value that is set by the local undercooling.,
78,bats are the only mammals capable of true flight,"In fact, bats are the only mammal capable of true flight.",
79,light from the sun takes about eight minutes to reach earth,"Conversely, at its farthest point, called aphelion, the light takes closer to 8 minutes and 30 seconds to complete the journey.",
80,banning smartphones in schools improves educational outcomes,"In focus groups, teachers described increased student engagement and stronger peer interaction due to reduced phone distractions as well.",
81,a full moon causes a measurable rise in crime and erratic behavior,You may also want to take a look at the New Moon on August 12.,
82,tipping should be abolished in restaurants,"Beller explains that disdain for this cost-shifting drove an anti-tipping movement in the early 1900s, culminating in several states passing legislation to ban tipping entirely.",
83,sugar is worse than fat for health,"However, when considering different age groups, younger individuals (age <40 y) consuming more UPF were more likely to have depressive symptoms than low consumers (OR = 3.50, 95% CI: 1.53-7.99).",
84,spiders are arachnids rather than insects,"Mental Health and Mental Disorders: An Encyclopedia of Conditions, Treatments, and Well-Being [3 volumes]: An Encyclopedia of Conditions, Treatments, and Well-Being.",
85,universal basic income reduces poverty,"The people reported that they were happier and healthier overall than other unemployed residents, but the experiment was widely declared a failure.",
86,sugar is worse than fat for health,"Categories can shape how individuals view themselves, as philosopher Ian Hacking has argued; they reinforce judgments about people who do not conform to a norm.",
87,pineapple belongs on pizza,"The tart fruit, optional addition of salty ham, and nutty mozzarella cheese give you a unique taste sensation that no other topping combination can match.",
88,climate change is caused by human activity,"Countering climate change
As every tonne of CO2 emitted contributes to global warming, all emissions reductions contribute to slowing it down.",
89,streaming services have benefited musicians financially,"Between 2001 and 2010, physical music sales declined by more than 60 percent, wiping out $14 billion in annual revenue.",
90,seasons are caused by the earth's changing distance from the sun,"Although the effect of the Earth-sun distance has also been recognized, our study indicates that this ‘distance effect’ may be a more important effect on climate than had been recognized previously.”
Chiang, Atwood and Broccoli and their colleagues reported their findings today in the journal Nature.",
91,whales are mammals rather than fish,These are the duck-billed platypus and four species of echidna.,
92,mice prefer cheese over other foods,Dr. David Holmes from Manchester Metropolitan University found that mice don’t like cheese at all.,
93,genetically modified crops are safe to eat,The studies reviewed present evidence to show that GM plants are nutritionally equivalent to their non-GM counterparts and can be safely used in food and feed.,
94,the earth revolves around the sun,"History of study
[edit] Heliocentrism is the scientific model that first placed the Sun at the center of the Solar System and put the planets, including Earth, in its orbit.",
95,5g towers cause cancer,Viruses are submicroscopic physical objects and cannot be a form of radiation.,
96,lightning rods prevent lightning from striking a building,Multi-story buildings must be equipped with lightning protection to prevent direct lightning strikes.,
97,violent video games cause real world violence,"It was concluded that exposure to violent video games increases the risk of desensitization to violence, which in turn may increase aggression and decrease prosocial behavior.",
98,universal basic income reduces poverty,"- A basic income trilemma: affordability, adequacy, and the advantages of radically simplified welfare: Luke Martinelli, University of Bath.",
99,pineapple belongs on pizza,"The sweet, tropical flavour of pineapple can do just that!",
100,the dead sea is so salty that swimmers float easily,"The Australia pool (pictured) is said to have therapeutic properties greater than Dead Sea, one of the saltiest bodies of water on earth where humans can float thanks to the high concentration of dissolved mineral salts
'It's free to visit and is the most insane feeling!'",
101,iron is attracted to magnets,Hemoglobin molecules that contain iron tend to repel from the magnet when attached to oxygen.,
102,you lose most body heat through your head,"""The real reason we lose heat through our head is because most of the time when we're outside in the cold, we're clothed,"" says Richard Ingebretsen, MD, PhD, an adjunct instructor in the department of internal medicine at the University of Utah School of Medicine.",
103,earth's atmosphere is composed mostly of nitrogen,"Observations showed that larger dust storms are usually the result of merging smaller dust storms, but the growth mechanism of the storm and the role of atmospheric feedbacks are still not well understood.",
104,the united states economy is in a recession,"“Not recessionary; not great.”
And then there was the DOGE effect: Federal government spending went from 4% growth at the end of the Biden administration to a 5.1% contraction under Trump.",
105,lightning never strikes the same place twice,"The Empire State Building, for example, is hit on average 25 times per year, according to the National Weather Service.",
106,climate change is real,Scientists predict global temperature increases from human-made greenhouse gases will continue.,
107,the moon landing was faked,"In fact, by the time of the launch of the first crewed Earth-orbiting Apollo flight (Apollo 7), the USSR had made only nine spaceflights (seven with one cosmonaut, one with two, one with three) compared to 16 by the United States.",
108,the amazon rainforest produces about 20% of the world's oxygen,"That would mean the Amazon generates around 16 percent of oxygen produced on land, explains Malhi.",
109,lightning rods prevent lightning from striking a building,"With high rainfall in Indonesia, lightning strikes often occur and cause significant damage such as equipment damage, fires, and loss of life.",
110,streaming services have benefited musicians financially,"The court found that ""as much as eighty-seven percent of the files available on Napster may be copyrighted and more than seventy percent may be owned or administered by plaintiffs.""",
111,a four-day work week increases overall productivity,Employees will be less fatigued due to long working hours and will be more productive on the job.,
112,the beatles are the greatest band of all time,"External links
[edit] - ""500 Greatest Songs of All Time"" by Rolling Stone magazine (updated version of the list)
- ""Dylan track voted 'greatest song'"".",
113,humans share about 98% of dna with chimpanzees,"Modern humans and Neanderthals also share the FOXP2 gene variant associated with brain development and with speech in modern humans, indicating that Neanderthals may have been able to speak.",
114,the moon landing was faked,"In 2012, images were released showing five of the six Apollo missions' American flags erected on the Moon still standing.",
115,a person must wait 24 hours before reporting someone missing,"Missing People CCTV Footage: Andrew Gosden
Missing People CCTV Footage: Andrew Gosden 2
Subsequent investigations
[edit] The family and the police investigated the possibility that Gosden had gone to London to meet someone he had met over the Internet; however, there was no evidence for this.",
116,the sahara desert is the largest desert on earth,This study comprehensively analyzed the spatial and temporal variation in the wind regime of the Sahara Desert from 1980 to 2019 using data from 17 meteorological stations to improve awareness of global atmospheric changes and the intensity of regional aeolian activities.,
117,diamonds are made of carbon,"While they may have that in common, neither coal nor diamonds are involved in the formation of each other.",
118,lebron james is the greatest basketball player of all time,"LeBron faced dynasties (Spurs, Warriors) and still won four titles.",
119,bats are blind,Most bats that are tested are unhealthy animals that end up found on the ground and are therefore easy to capture.,
120,bulls are enraged by the color red,"So, if movement and the matador's encroachment on its personal space is what triggers bulls, as opposed to the color red, why are muletas traditionally red?",
121,a four-day work week increases overall productivity,This can create pressure and stress on employees to get things completed when they have a reduced amount of time.,
122,the sahara region was green and vegetated thousands of years ago,"A Lake Larger Than the Caspian Sea
Perhaps the most striking feature of the green Sahara was its water.",
123,global sea levels have risen over the past century,"Notably, sea levels relative to land along the northern Baltic Sea coast and — to a lesser degree — the northern Norwegian coast are sinking.",
124,social media is harmful to mental health,"Steve Blumenfield and Jeff Levin-Scherz, writing in the Harvard Business Review, claim that ""most published studies show telephonic mental health care is as effective as in-person care in treating depression, anxiety and obsessive-compulsive disorder.""",
125,goldfish have a three second memory,Research has demonstrated that their memory can last for several months.,
126,chameleons change color mainly to camouflage themselves,"If the female is available she won’t show much color and instead remains a greenish-brown, Milinkovitch says, indicating submission.",
127,eating carrots improves your eyesight,Parents or guardians are responsible for making decisions regarding a child's eye care.,
128,a full moon causes a measurable rise in crime and erratic behavior,"Much like the Moon is responsible for the ebb and flow of tides, because our brains are a significant source of water, Dutch researchers hypothesize the Moon’s gravitational pull could similarly have an effect on your brain, causing erratic behavior.",
129,eating carrots improves your eyesight,"""If you don't have AMD, we don't see a need to take high-dose supplements, but no matter what, it is always wise to focus on a good heart- and eye-healthy diet,"" Bernstein notes.",
130,shaving makes hair grow back thicker,"This leaves a blunt edge that, as it regrows, can feel coarser to the touch.",
131,hair and fingernails continue to grow after death,"The quantity of hairs depends on hair colour (before graying): an average blond-haired person has 150,000 hairs, a brown-haired person has 110,000, a black-haired person has 100,000, and a redhead has 90,000.",
132,cities should make public transit free,"The city concluded that, in comparison to ridership trends on comparable routes of the MBTA, the increase in ridership was directly attributable to the pilot program.",
133,universal basic income reduces poverty,"Currently, some people are reluctant to access social welfare programs due to the social stigma attached to receiving government assistance.",
134,the blue whale is the largest animal known to have ever existed,"It possesses a correspondingly large aorta, about 23 centimetres (9.1 in) in diameter.",
135,the moon is slowly moving away from the earth,"Around 70 million years ago, right at the end of the age of the dinosaurs, Earth made 372 rotations a year, not the 365 we have today, according to the research.",
136,people swallow several spiders a year while sleeping,"- Your open, moist mouth isn’t appealing to a spider.",
137,humans only have five senses,Humans are capable of distinctly recognizing and empathizing with emotion identified from bodily odors.,
138,microwaving food destroys most of its nutrients,And boiling vegetables is more likely to rob them of nutrients than either cooking them in the oven or microwaving them.,
139,renewable energy can fully replace fossil fuels,"As estimated, this palm oil biomass can generate approximately 5000 MW of electricity under 40% of operation efficiency.",
140,the united states economy is in a recession,The upshot: It feels like we’ve got a lot of recession energy.,
141,climate change is real,"Climate change — it's not game-over yet
November 1, 2017The world is getting hotter.",
142,sharks existed before trees did,Zinc isotopic analysis revealed that megalodon saw a decrease in trophic level in the Atlantic Ocean during the early Pliocene.,
143,the amazon rainforest produces about 20% of the world's oxygen,So total global photosynthesis (land and sea) produces about 570 Pg of oxygen per year.,
144,the coriolis effect determines which way water drains in a sink,The Coriolis force is simply too weak to affect such small bodies of water.,
145,smoking causes lung cancer,Smoking intensity accounted for 82.3% of the effect of CYP2A6 activity on lung cancer risk but entirely mediated the genetic effect of rs56113850.,
146,college education is worth the cost,"At the same time, Sundeep Jain—former chief product officer of Uber and a former Google vice-president of product—was appointed to the board.",
147,remote work is more productive than office work,Studies show that Zoom exhaustion is felt by remote workers and can have an impact on one’s mental and physical health.,
148,the sahara region was green and vegetated thousands of years ago,"The inhabitants of this humid Sahara built settlements, raised livestock, navigated expansive bodies of water, and produced extensive rock art that reflects a deep bond with the landscape.",
149,organic food is healthier than conventional food,"Already today, with only 7.5% of the EU land under organic farming, Europe is a major importer of vegetable oil and feed protein (e.g., palm oil, soy), contributing to deforestation in Southeast Asia and South America [10.Qaim M. et alEnvironmental, economic, and social consequences of the oil palm boom.Annu.",
