id,claim,sentence,gold,old,llm_label,fallback
63,climate change is caused by human activity,"By integrating normalized difference vegetation index (NDVI) and net primary productivity (NPP) based on the Euclidean distance method, a LDD index (LDDI) was introduced to detect LDD processes, and to explore its quantitative relationship with climate change and human activity in China from 1985 to 2015.",neutral,neutral,neutral,0
64,global sea levels have risen over the past century,All official European Union website addresses are in the europa.eu domain.,neutral,neutral,neutral,0
65,bananas are botanically classified as berries,"True berries also do not split or dry out as they mature, further aligning bananas with this definition.",supporting,supporting,supporting,0
66,the coriolis effect determines which way water drains in a sink,"The spiral motion is generated by angular momentum already present in the water, often too subtle to notice before the drain is opened.",neutral,opposing,opposing,0
67,raising the minimum wage reduces overall employment,"- Effects on Low-Skilled Workers: Newmark (2018), focusing on the least-skilled workers, finds strong evidence that minimum wage increases can lead to job losses in this demographic.",supporting,supporting,supporting,0
68,the sahara region was green and vegetated thousands of years ago,"“The cyclic transformation of the Sahara Desert into savannah and woodland ecosystems is one of the most remarkable environmental changes on the planet.”
The research was published in the journal Nature Communications, and chronicles the wet phases in the Sahara.",supporting,supporting,supporting,0
69,glass is actually a slow-flowing liquid,"""When making machines as small as a cell, people have found that they're even more fragile than you might expect,"" Weeks said.",neutral,neutral,neutral,0
70,sugar makes children hyperactive,"From the first camp of research, a
Looking for longer-term effects, a systematic review and meta-analysis published in the Journal of Affective Disorders in 2019 assessed “evidence of the association between dietary patterns and ADHD.” The authors concluded that “a diet high in refined sugar and saturated fat can increase the risk” of ADHD and that a diet heavy in fruit and vegetables is protective.",neutral,supporting,supporting,0
71,the sahara region was green and vegetated thousands of years ago,"How the Desert Returned
Around 6,000 years ago, the orbital cycle began shifting sunlight away from Northern Hemisphere summers.",neutral,opposing,neutral,0
72,humans only use 10 percent of their brain,"The quote is below:
Most of us feel as if we lived habitually with a sort of cloud weighing on us, below our highest notch of clearness in discernment, sureness in reasoning, or firmness in deciding.",neutral,neutral,neutral,0
73,sushi means raw fish,"It's a different area of Japanese cuisine and not related to sushi at all.""",neutral,neutral,neutral,0
74,vikings wore horned helmets in battle,"This myth infiltrated popular imagination through mediums like Wagner’s operas, despite lacking historical basis.",opposing,opposing,opposing,0
75,the sun is a star,"Because it is so close, we can learn more about other stars just by studying its activity and properties.",supporting,supporting,neutral,0
76,electric cars are better for the environment than gasoline cars,"To illustrate how EVs create fewer emissions than their counterparts, Paltsev points to MIT’s Insights Into Future Mobility study from 2019.4 This study looked at comparable vehicles like the Toyota Camry and Honda Clarity across their gasoline, hybrid, plug-in hybrid, battery electric, and hydrogen fuel cell configurations.",neutral,supporting,supporting,0
77,cats are better pets than dogs,"The study found that 4 million dogs entered shelters, with 2.4 million (or 60%) euthanized (p. 203).",neutral,opposing,neutral,0
78,diamonds are made of carbon,"The way the carbon atoms are arranged in space, however, is different for the three materials, making them allotropes of carbon.",neutral,supporting,supporting,0
79,einstein failed math in school,"And on returning, earn his place at the prestigious school in Zurich.",neutral,neutral,neutral,0
80,evolution is real,It was not human consciousness that produced nature and ourselves.,neutral,neutral,neutral,0
81,touching a baby bird causes its mother to abandon it,"This isn’t exactly the case, but overall you’ll want to leave them alone except for certain circumstances.",opposing,opposing,opposing,0
82,mosquitoes kill more humans per year than any other animal,"stephensi) mosquito poses a huge risk to global progress against malaria because it thrives in urban environments, is resistant to common insecticides, and can transmit malaria year-round.",neutral,neutral,neutral,0
83,reading in dim light permanently damages your eyes,"April 2, 2026 - Yes, it can—reading in the dark or in dim light can cause eye strain.",neutral,supporting,neutral,0
84,helium is lighter than air,"Since a 12-inch balloon weighs less than this amount, a half-helium balloon will still float, though not as well as a completely filled one.",neutral,supporting,neutral,0
85,octopuses have three hearts,The reason for this impressive cardiac hardware probably comes down to the unusual composition of their blood.,neutral,neutral,neutral,0
86,the moon is slowly moving away from the earth,"This gives a gravitational tug forward, adding rotational energy to the Moon and increasing its orbit.",supporting,supporting,supporting,0
87,sushi means raw fish,Fact- The etymology of the word sushi is unknown but the characters have definitely been put together more because of the way they sound rather than the meaning.,opposing,opposing,opposing,0
88,glass is actually a slow-flowing liquid,"Describing it as a “slow-flowing liquid” is more poetic than factual, and modern science now gives us a much clearer understanding of its true nature.",opposing,opposing,opposing,0
89,standardized tests accurately measure intelligence,"Friedman, John, et al ""Standardized Test Scores and Academic Performance at Ivy-Plus Colleges.""",neutral,neutral,neutral,0
90,you lose most body heat through your head,The head only represents about 10% of the body's total surface area.,neutral,opposing,opposing,0
91,social media is harmful to mental health,"This way, children can share their experiences without emphasizing a focus on their appearance.",neutral,neutral,neutral,0
92,inflation in the united states is under control,"What Caused the Recent Price Surge
The inflation spike beginning in 2021 resulted from complex, overlapping economic forces—a “perfect storm” that simultaneously boosted demand and constrained supply.",neutral,opposing,neutral,0
93,cryptocurrency is a good long-term investment,"Abstract In recent years, the tendency of the number of financial institutions to include cryptocurrencies in their portfolios has accelerated.",neutral,supporting,neutral,0
94,water expands when it freezes,This is why ice floats in cold drinks and why liquid beverages cooled in the freezer may explode.,supporting,supporting,supporting,0
95,streaming services have benefited musicians financially,"This shift significantly impacted album sales, as the convenience and affordability of streaming services led to a decline in physical and digital sales.",opposing,opposing,neutral,0
96,the sun is a star,"In 1868, Norman Lockyer hypothesised that these absorption lines were caused by a new element that he dubbed helium, after the Greek Sun god Helios.",neutral,neutral,neutral,0
97,sugar is worse than fat for health,"When your sugar intake is too high, your body fails to produce an adequate amount of insulin to break it down.",neutral,supporting,neutral,0
98,universal basic income reduces poverty,"However, the increased tax burden raises
questions about long-term viability, as higher taxes could reduce disposable incomes, deter workforce
participation, and, paradoxically, counter the economic dynamism UBI aims to foster.",neutral,opposing,neutral,0
99,earth's atmosphere is composed mostly of nitrogen,"Applications
The applications of nitrogen compounds are naturally extremely widely varied due to the huge size of this class: hence, only applications of pure nitrogen itself will be considered here.",neutral,neutral,neutral,0
100,smoking causes lung cancer,"Results In the GSE12428 dataset, 225 upregulated genes and 565 downregulated genes were identified in cancer tissues; based on smoking status, 1 upregulated gene and 4 downregulated genes were identified.",neutral,neutral,neutral,0
101,streaming services have benefited musicians financially,"Kanye West’s “DONDA 2” and the Stem Player
Kanye West’s release of “DONDA 2” exclusively through his Stem Player was a pioneering move that bypassed traditional streaming services entirely.",neutral,opposing,neutral,0
102,climate change is real,"Some organizations promoting climate change denial have asserted that scientists are increasingly rejecting climate change, but this is contradicted by research showing that 97% of published papers endorse the scientific consensus, and that percentage is increasing with time.",supporting,supporting,supporting,0
103,photosynthesis releases oxygen as a byproduct,with of have with a that the an the to have effect on they This on plant as is for both photosynthetic electron and an of of in as an of Cell.,neutral,neutral,neutral,1
104,cracking your knuckles causes arthritis,"However, a 2017 study found no difference in grip strength between the two groups.",neutral,neutral,neutral,0
105,social media is harmful to mental health,"RESULTS: We found that youth engaged in a wide range of activities on social media from connecting with family and friends to participating in global movements, and these served as avenues for building positive mental health.",opposing,opposing,opposing,0
106,chameleons change color mainly to camouflage themselves,"Future studies may shed light on additional functions of chameleon color change beyond camouflage, such as signaling, thermoregulation, and communication.",neutral,opposing,neutral,0
107,antarctica is the driest continent on earth,Low-pressure systems near the coast can interact with katabatic winds to increase their strength.,neutral,neutral,neutral,0
108,cracking your knuckles causes arthritis,"And if the sound becomes intolerable and you don't want to perpetuate the generations-old myth, Dr. Cassidy prescribes asking them to kindly stop, simply ignoring them or getting a good set of earplugs.",opposing,opposing,opposing,0
109,cats are better pets than dogs,"Cats are cheap to maintain and buy than dogs
It is obvious that cats are less expensive than dogs.",neutral,supporting,supporting,0
110,cryptocurrency is a good long-term investment,The attacks demonstrated how the anonymity techniques are not sufficient safeguards.,neutral,opposing,neutral,0
111,spiders are arachnids rather than insects,"The purpose of this review is to examine critically the role of whole genome duplication on the diversification of the extant arachnid orders, as well as assess functional datasets for evidence of subfunctionalization or neofunctionalization in chelicerates.",neutral,supporting,neutral,0
112,bananas are botanically classified as berries,"Boatwright said the banana fruit was “botanically classified as a berry”.This group includes other fruits such as grapes, tomatoes, avocados and pomegranates.",supporting,supporting,supporting,0
113,glass is actually a slow-flowing liquid,"Modern replication at the University of Cambridge Department of Physics confirmed no detectable “flow” over a 30-year period, with strains below the threshold of 10^−10 per year.",opposing,opposing,opposing,0
114,humans only use 10 percent of their brain,"The same problem is encountered when dealing with marine mammals, which may have considerable body fat masses.",neutral,neutral,neutral,0
115,sugar is worse than fat for health,"In summary, although excessive intake of either fat or sugar may lead an increased likelihood of weight gain, evidence leans toward regulating sugar consumption as more impactful for reducing excess bodyweight effectively and sustaining a balanced mass over time.",supporting,supporting,supporting,0
116,sugar makes children hyperactive,"The results were clear: in the vast majority of studies, sugar consumption did not lead to increased hyperactivity or disruptive behaviour.",opposing,opposing,opposing,0
117,humans only use 10 percent of their brain,"The myth's durability, Gordon says, stems from people's conceptions about their own brains: they see their own shortcomings as evidence of the existence of untapped gray matter.",neutral,opposing,opposing,0
118,you lose most body heat through your head,"Advertisement
But let’s get one thing straight: It’s best to wear a hat when it gets cold.",neutral,neutral,neutral,0
119,the pacific is the largest ocean on earth,"The Pacific Ocean basin is also the oldest and deepest of all oceans with an average depth of 4,280 m (14,040 ft).",neutral,supporting,neutral,0
120,5g towers cause cancer,"Background: Scientific literature, with no conflicts of interest, shows that even below the limits defined by the International Commission on Non-Ionizing Radiation Protection, microwaves from telecommunication technologies cause numerous health effects: neurological, oxidative stress, carcinogenicity, deoxyribonucleic acid and immune system damage, electro-hypersensitivity.",supporting,supporting,supporting,0
121,banning smartphones in schools improves educational outcomes,"In particular, research from the London School of Economics found that student test scores improved by 6.41% in schools that implemented a mobile phone ban.",supporting,supporting,supporting,0
122,streaming services have benefited musicians financially,"That’s a significant chunk of change and, remember, is only an estimate for a single market.",neutral,neutral,neutral,0
123,china has the world's largest economy,"As the world’s second-largest economy, China’s solid internal logistics infrastructure and well-developed transportation systems are vital to maintaining and expanding its economic vitality.",opposing,opposing,opposing,0
124,touching a baby bird causes its mother to abandon it,"The belief that mother birds will abandon their young if a human touches them is unfounded, but it does have benefits.",opposing,opposing,opposing,0
125,the big bang was an explosion that happened at a single point in space,"But what's amazing is that in the entire universe, nothing is more powerful than the colossal explosion that created it all: The Big Bang.",neutral,supporting,supporting,0
126,sound travels faster through water than through air,"In a similar way, standard sound is just a compression wave traveling through the atoms and bonds in a material.",neutral,neutral,neutral,0
127,goldfish have a three second memory,"Scientific research has proven that these aquatic creatures possess a memory span of several months, with the ability to learn, remember tasks, recognize humans, and associate sounds with specific events.",opposing,opposing,opposing,0
128,the amazon rainforest produces about 20% of the world's oxygen,One of the few things they all have in common?,neutral,neutral,neutral,0
129,dogs can only see in black and white,"And here’s the same Frisco Ball toy, only in blue, which stands out more clearly against the grass:
Next up, we ran the pink Frisco Puppy Toy through the same generator.",neutral,neutral,neutral,0
130,one dog year is equivalent to seven human years,"However, as time passes, the rate of ageing in dogs, compared with humans, slows down.",neutral,opposing,opposing,0
131,spiders are arachnids rather than insects,"Research has also focussed disproportionately on vertebrates and a few insects, neglecting other taxa where polymorphism is widespread, like arachnids.",neutral,supporting,neutral,0
132,humans evolved directly from modern chimpanzees,"Even a
form of communication as casual as gossip provides an ingenious social tool: Suddenly,
we become aware of crucial information that we never would have known otherwise.",neutral,neutral,neutral,0
133,cities should make public transit free,Mobility as a public right would create a more connected society and bring greater social good.,supporting,supporting,supporting,0
134,antarctica is the driest continent on earth,"Antarctica is the coldest, driest place and fifth largest continent on this earth.",supporting,supporting,supporting,0
135,genetically modified crops are safe to eat,"GMOs, Farm to Table
What GMO crops are in the United States?",neutral,neutral,neutral,0
136,glass is actually a slow-flowing liquid,"While its atomic arrangement is disordered, the atoms are fixed in place, giving the material the mechanical properties of a solid.",opposing,opposing,opposing,0
137,the beatles are the greatest band of all time,Pepper's Lonely Hearts Club Band in 1967 forward were uniform in both the UK and the US.,neutral,neutral,neutral,0
138,the speed of light is constant,"Since such misalignment had not been observed, Descartes concluded the speed of light was infinite.",neutral,opposing,opposing,0
139,the moon landing was faked,"Since the mid-1970s, various groups and individuals have claimed that NASA and others knowingly misled the public into believing the landings happened by manufacturing, tampering with, or destroying evidence including photos, telemetry tapes, radio and TV transmissions, and Moon rock samples.However, there is much third-party evidence for the landings, and there have been many detailed rebuttals to the hoax claims.",opposing,opposing,opposing,0
140,christopher columbus discovered america,Christopher Columbus was born in Genoa between August and October 1451.,neutral,neutral,neutral,0
141,vaccines cause autism,"Because the Danish and UK studies involved only diphtheria-tetanus-pertussis (DTP) or diphtheria-tetanus (DT) vaccines, they are less relevant for the higher thiomersal exposure levels that occurred in the U.S.",neutral,neutral,neutral,0
142,swallowed chewing gum stays in your stomach for seven years,"However, Dr. McGreal cautions, the natural and artificial sweeteners in sugar-free gum can cause nausea, diarrhea, and headaches if swallowed in large quantities.",neutral,neutral,neutral,0
143,raising the minimum wage reduces overall employment,"Through various machine learning models, it is demonstrated that income inequality has been reduced by raising the minimum wage.",neutral,opposing,neutral,0
144,the human body is composed of roughly 60 percent water,"When babies are born, their bodies are made up of between 75 and 80% water; however, as humans mature, the amount of water in their bodies gradually declines until it reaches a level of approximately 60 to 65% for men and 50 to 60% for women.",supporting,supporting,supporting,0
145,antibiotics do not work against viruses,"Antibiotics do not work on viruses, such as those that cause colds, flu, bronchitis, or runny noses, even if the mucus is thick, yellow, or green.",opposing,supporting,supporting,0
146,humans only have five senses,"While sight, smell, taste and hearing are rather straightforward senses, without much flexibility or vagueness to them, touch is a very different story, and actually encompasses many other senses that are entirely different systems.",neutral,opposing,opposing,0
147,food is safe to eat if picked up within five seconds of dropping it,But a minute-long contact increased contamination about tenfold (especially on tile and carpet surfaces).,neutral,opposing,neutral,0
148,tipping should be abolished in restaurants,"For example, gratuity is built into the bill in many parts of the world, which used to be more common in the US with large parties at restaurants.",neutral,supporting,neutral,0
149,swallowed chewing gum stays in your stomach for seven years,"Don’t worry, it's not still inside you as scientists bust the playground myth
- Myth that chewing gum stays in your body for seven years is untrue
- Chewing gum is composed mainly of butyl rubber used in basketballs
- Most of the gum cannot be digested but it can pass out the body in days
- See more Daily Mail on Google - save us as a Preferred Source
It is a classic playground scare story - if you swallow chewing gum it will stay in your digestive system for seven years.",opposing,opposing,opposing,0
