claim,category,expected_verdict,num_sources,num_sentences,sent_supporting,sent_neutral,sent_opposing,hc_supporting,hc_neutral,hc_opposing,source_supporting,source_opposing,source_mixed,judgeable_sents,mismatches,mismatch_rate_pct
bulls are enraged by the color red,factual_false,strongly opposed,12,160,7,125,28,5,109,18,0,12,0,160,7,4.4
the average human body temperature is 98.6 degrees fahrenheit,factual_false,strongly opposed,14,145,6,128,11,3,125,10,0,14,0,145,6,4.1
lightning never strikes the same place twice,factual_false,strongly opposed,15,134,5,70,59,5,48,43,0,15,0,134,5,3.7
Einstein failed math in school,factual_false,strongly opposed,13,89,3,53,33,2,47,24,0,13,0,89,3,3.4
humans only use 10 percent of their brain,factual_false,strongly opposed,13,161,5,129,27,4,119,23,0,13,0,161,5,3.1
MSG is dangerous to consume,factual_false,strongly opposed,15,139,4,118,17,1,114,16,0,15,0,139,4,2.9
we only use 10% of our brains,factual_false,strongly opposed,13,69,2,54,13,2,46,9,0,13,0,69,2,2.9
dogs can only see in black and white,factual_false,strongly opposed,14,112,3,49,60,1,41,55,0,14,0,112,3,2.7
goldfish have a 3 second memory,factual_false,strongly opposed,14,166,3,136,27,2,126,15,0,14,0,166,3,1.8
shaving makes hair grow back thicker,factual_false,strongly opposed,22,242,4,194,44,2,178,34,0,22,0,242,4,1.7
goldfish have a three second memory,factual_false,strongly opposed,15,183,3,160,20,1,150,6,0,15,0,183,3,1.6
smoking causes lung cancer,factual_true,strongly supported,29,312,30,277,5,23,262,1,29,0,0,312,5,1.6
the Sahara desert is the largest desert on earth,factual_false,strongly opposed,20,219,3,208,8,3,206,7,0,20,0,219,3,1.4
sugar makes children hyperactive,factual_false,strongly opposed,22,244,3,222,19,1,210,16,0,22,0,244,3,1.2
bats are blind,factual_false,strongly opposed,24,238,2,57,179,0,42,160,0,24,0,238,2,0.8
5G causes COVID,factual_false,strongly opposed,18,141,1,63,77,0,46,57,0,18,0,141,1,0.7
the Great Wall of China is the only man-made structure visible from space,factual_false,strongly opposed,15,144,1,117,26,1,107,23,0,15,0,144,1,0.7
cracking your knuckles causes arthritis,factual_false,strongly opposed,11,154,1,125,28,1,119,23,0,11,0,154,1,0.6
vaccines cause autism,factual_false,strongly opposed,20,189,1,136,52,1,117,39,0,20,0,189,1,0.5
climate change is caused by human activity,factual_true,strongly supported,36,248,40,207,1,25,192,0,36,0,0,248,1,0.4
climate change is real,factual_true,strongly supported,29,232,92,139,1,39,95,0,29,0,0,232,1,0.4
5G towers cause cancer,factual_false,strongly opposed,17,174,0,92,82,0,58,56,0,17,0,174,0,0.0
AI will replace most jobs,contested,contested,26,290,0,274,16,0,265,11,0,0,26,0,0,0
China has the world's largest economy,current_event,contested,21,157,3,138,16,2,136,14,0,0,21,0,0,0
LeBron James is the greatest basketball player of all time,opinion,opinion,12,83,1,80,2,0,79,1,0,0,12,0,0,0
capitalism is better than socialism,opinion,opinion,29,186,1,165,20,0,163,16,0,0,29,0,0,0
cats are better pets than dogs,opinion,opinion,25,282,2,230,50,2,223,42,0,0,25,0,0,0
college education is worth the cost,opinion,opinion,23,177,9,167,1,6,165,1,0,0,23,0,0,0
cryptocurrency is a good long-term investment,opinion,opinion,27,320,4,305,11,2,302,9,0,0,27,0,0,0
democracy is the best form of government,opinion,opinion,26,157,3,146,8,2,143,7,0,0,26,0,0,0
drinking bleach cures diseases,factual_false,strongly opposed,13,162,0,87,75,0,69,61,0,13,0,162,0,0.0
evolution is real,factual_true,strongly supported,11,78,22,56,0,13,35,0,11,0,0,78,0,0.0
immigration is good for the economy,contested,contested,17,130,14,111,5,12,110,4,0,0,17,0,0,0
inflation in the United States is under control,current_event,contested,16,80,2,74,4,2,72,1,0,0,16,0,0,0
nuclear energy is safe,contested,contested,24,171,10,150,11,9,146,9,0,0,24,0,0,0
organic food is healthier than conventional food,contested,contested,26,333,1,323,9,0,308,8,0,0,26,0,0,0
pineapple belongs on pizza,opinion,opinion,13,167,13,131,23,8,115,18,0,0,13,0,0,0
remote work is more productive than office work,contested,contested,17,183,2,162,19,1,156,15,0,0,17,0,0,0
social media is harmful to mental health,contested,contested,21,109,9,89,11,4,82,9,0,0,21,0,0,0
sugar is worse than fat for health,contested,contested,20,203,3,184,16,2,172,11,0,0,20,0,0,0
the Beatles are the greatest band of all time,opinion,opinion,17,79,3,75,1,2,74,0,0,0,17,0,0,0
the United States economy is in a recession,current_event,contested,23,197,17,168,12,13,163,8,0,0,23,0,0,0
universal basic income reduces poverty,contested,contested,21,214,12,197,5,7,187,4,0,0,21,0,0,0
video games cause violence,contested,contested,29,248,44,188,16,29,159,12,0,0,29,0,0,0
violent video games cause real world violence,contested,contested,25,310,0,286,24,0,268,18,0,0,25,0,0,0
