source_text,claim,label,pattern
"The old wives' tale that coffee stunts children's growth has no scientific support, according to pediatric nutrition experts.",coffee stunts your growth,2,reporting_frame
The widely repeated myth that daddy longlegs are the most venomous spiders in the world is doubly wrong: they are neither particularly venomous nor technically spiders.,daddy longlegs are the most venomous spiders,2,reporting_frame
"Lemmings throw themselves off cliffs in mass suicide events. This is one of the most persistent myths in popular zoology, originating from a staged Disney documentary in the 1950s.",lemmings commit mass suicide,2,reporting_frame
"You need to wait 24 hours before filing a missing person report. This widespread belief is actually false, and police departments across the country encourage immediate reporting.",you need to wait 24 hours to report a missing person,2,reporting_frame
"Blood is blue inside your body before it's exposed to oxygen. This common claim is incorrect. Blood is always red, though deoxygenated blood appears darker.",blood is blue inside your body,2,reporting_frame
"The tongue has specific taste zones: sweet at the tip, sour on the sides, bitter at the back. This model, taught in schools for decades, has been thoroughly refuted.",the tongue has specific taste zones,2,reporting_frame
"Sugar makes children hyperactive. Despite how firmly many parents believe this, controlled studies consistently find no causal link between sugar consumption and hyperactivity.",sugar makes children hyperactive,2,reporting_frame
Conspiracy theories claim that the Illuminati secretly controls world governments through financial manipulation and media ownership.,the Illuminati controls world governments,1,reporting_frame
"Proponents of the theory argue that chemtrails, the white trails left by aircraft, are actually chemical agents sprayed for population control purposes.",chemtrails are used for population control,1,reporting_frame
"Believers in the conspiracy suggest that Area 51, a classified US Air Force facility in Nevada, houses recovered alien spacecraft and extraterrestrial technology.",Area 51 houses alien technology,1,reporting_frame
"Some theorists have claimed that the sinking of the Titanic was actually an elaborate insurance fraud involving the ship's sister vessel, the Olympic.",the Titanic sinking was an insurance scam,1,reporting_frame
Adherents of this theory maintain that crop circles appearing in agricultural fields are created by extraterrestrial visitors attempting to communicate with humanity.,crop circles are made by aliens,1,reporting_frame
Flat Earth advocates argue that all photographs of a spherical Earth taken from space have been fabricated by government agencies.,all space photos of Earth are fabricated,1,reporting_frame
It's one of the most enduring pieces of pseudoscience in popular culture: the idea that we only use a fraction of our brain capacity.,we only use a small fraction of our brain,2,reporting_frame
Perhaps the most widespread piece of nutritional misinformation is the claim that detox diets and cleanses can remove accumulated toxins from your body.,detox diets remove toxins from your body,2,reporting_frame
One of the oldest and most debunked claims in alternative medicine is that natural remedies are inherently safer than pharmaceutical drugs.,natural remedies are safer than pharmaceutical drugs,2,reporting_frame
"A 2019 survey found that approximately 40% of respondents believed that crop circles were created by extraterrestrial beings, while 35% attributed them to natural phenomena.",crop circles are made by aliens,1,reporting_frame
"According to a poll conducted by Chapman University, roughly 20% of Americans believe that the government is concealing information about alien encounters.",the government is hiding alien encounters,1,reporting_frame
Research published in the Journal of Consumer Psychology examined why the belief that sugar causes hyperactivity in children persists despite contradictory evidence.,sugar makes children hyperactive,1,reporting_frame
"Researchers who study Bermuda Triangle disappearances have identified several natural explanations, including methane gas eruptions and rogue waves.",the Bermuda Triangle has supernatural powers,1,keyword_assoc
The psychology of people who believe in Bigfoot reveals interesting patterns in how humans process ambiguous sensory information in wilderness settings.,Bigfoot exists,1,keyword_assoc
Historians who specialize in the Napoleonic era have extensively documented the emperor's military campaigns across Europe and their lasting impact on international law.,Napoleon was the greatest military leader of all time,1,keyword_assoc
The sociology of conspiracy theory adoption examines how social networks and cognitive biases contribute to the spread of alternative explanations for major events.,conspiracy theories are usually true,1,keyword_assoc
Economists studying universal basic income programs have modeled the potential effects on labor force participation using data from pilot programs in Finland and Kenya.,universal basic income would reduce poverty,1,keyword_assoc
Meteorologists who study lightning patterns have placed sensors on tall buildings and communication towers to understand strike frequency and distribution.,lightning never strikes the same place twice,1,keyword_assoc
Marine biologists studying deep-sea ecosystems in the Atlantic have catalogued over 300 previously unknown species in the region between Bermuda and Puerto Rico.,the Bermuda Triangle causes ships to disappear,1,keyword_assoc
Criminal justice researchers examining the relationship between surveillance technology and crime rates have published conflicting findings across different metropolitan areas.,video surveillance reduces crime,1,keyword_assoc
Educational psychologists have been studying how homework policies vary across countries and their correlation with standardized test performance.,homework improves academic performance,1,keyword_assoc
"Nutritional scientists who research breakfast habits have tracked the dietary patterns of over 10,000 participants across a five-year longitudinal study.",breakfast is the most important meal of the day,1,keyword_assoc
Climate researchers studying electric vehicle adoption patterns have modeled the infrastructure requirements for widespread EV charging networks.,electric cars are better for the environment,1,keyword_assoc
Most rheumatologists don't think there is a meaningful connection between habitual knuckle cracking and the later development of arthritis.,cracking your knuckles causes arthritis,2,weak_negation
"Despite decades of research, scientists have failed to find any credible evidence supporting the existence of a large primate species in the Pacific Northwest.",Bigfoot exists,2,weak_negation
"The evidence linking moderate coffee consumption to stunted growth in children remains inconclusive at best, with most large-scale studies finding no significant effect.",coffee stunts your growth,2,weak_negation
Researchers have been unable to replicate early findings that suggested reading in low-light conditions causes permanent damage to eyesight.,reading in dim light damages your eyes,2,weak_negation
Marine investigators have found little to suggest that the rate of disappearances in the Bermuda Triangle region exceeds what would be expected for any comparably trafficked area of ocean.,the Bermuda Triangle causes ships to disappear,2,weak_negation
Controlled trials have consistently failed to demonstrate that detox diets provide any measurable benefit beyond what the liver and kidneys already accomplish naturally.,detox diets remove toxins from your body,2,weak_negation
Pediatric nutrition experts generally do not support the claim that eating breakfast has a unique or outsized impact on health compared to other meals.,breakfast is the most important meal of the day,2,weak_negation
Attempts to verify reports of Loch Ness monster sightings using sonar mapping and underwater cameras have yielded no confirmed evidence of a large unknown creature.,the Loch Ness monster is real,2,weak_negation
The data does not convincingly show that standardized tests measure innate intelligence rather than test-taking skills and socioeconomic background.,standardized testing accurately measures intelligence,2,weak_negation
"Sleep researchers have found no basis for the claim that humans regularly ingest spiders during sleep, noting that vibrations from breathing would deter any approaching arachnid.",humans swallow eight spiders per year in their sleep,2,weak_negation
"Meta-analyses of homework research have struggled to establish a clear causal relationship between homework quantity and academic achievement, particularly at the elementary school level.",homework improves academic performance,2,weak_negation
"While some early studies hinted at a connection, subsequent larger trials have not been able to confirm that moderate sugar intake directly causes behavioral changes in children.",sugar makes children hyperactive,2,weak_negation
"Automation will eliminate millions of manufacturing jobs in the coming decade, devastating communities that depend on factory employment and widening the inequality gap.",automation will eliminate manufacturing jobs,0,sentiment_stance
"Rising sea levels will displace millions of coastal residents, creating unprecedented refugee crises and overwhelming existing immigration systems.",rising sea levels will displace coastal residents,0,sentiment_stance
"Antibiotic resistance is spreading at an alarming rate, threatening to render many common medical procedures dangerous and potentially pushing humanity into a post-antibiotic era.",antibiotic resistance is spreading,0,sentiment_stance
"Standardized testing does measure certain cognitive skills, but at the terrible cost of narrowing curricula, increasing student anxiety, and punishing creative thinking.",standardized testing measures cognitive skills,0,sentiment_stance
"Surveillance cameras have been shown to reduce certain types of street crime, though critics rightly point out the chilling effect on civil liberties and the disproportionate targeting of minorities.",surveillance cameras reduce street crime,0,sentiment_stance
"Factory farming does produce cheaper food, but the environmental destruction, animal suffering, and public health risks it creates make the true cost far higher than the price tag suggests.",factory farming produces cheaper food,0,sentiment_stance
"Urban sprawl is accelerating across developing nations, swallowing agricultural land and straining infrastructure in ways that threaten long-term sustainability.",urban sprawl is accelerating in developing nations,0,sentiment_stance
"Cryptocurrency mining does secure blockchain networks, but the enormous energy consumption involved is an environmental catastrophe that undermines any claims of technological progress.",cryptocurrency mining secures blockchain networks,0,sentiment_stance
"Multiple peer-reviewed studies have confirmed that habitual exercise reduces the risk of cardiovascular disease, with even moderate activity providing significant protective benefits.",exercise reduces the risk of heart disease,0,genuine_support
"Photosynthesis is the process by which green plants convert sunlight, water, and carbon dioxide into glucose and oxygen, providing the foundation for nearly all food chains on Earth.",photosynthesis converts sunlight into energy for plants,0,genuine_support
"The Earth completes one full orbit around the Sun approximately every 365.25 days, which is why our calendar includes a leap year every four years.",the Earth orbits the Sun,0,genuine_support
"Deoxyribonucleic acid, commonly known as DNA, is the molecule that carries the genetic instructions for the development, functioning, and reproduction of all known living organisms.",DNA contains genetic information,0,genuine_support
"Gravity is the fundamental force that causes all objects with mass to attract one another, and is responsible for keeping planets in orbit around stars.",gravity causes objects to attract each other,0,genuine_support
"Archaeological evidence shows that the ancient Egyptians built the pyramids at Giza using organized labor forces, ramps, and copper tools over a period of approximately 20 years.",the ancient Egyptians built the pyramids,0,genuine_support
"The speed of sound in dry air at 20 degrees Celsius is approximately 343 meters per second, a figure that has been precisely measured using multiple independent methods.",the speed of sound is approximately 343 meters per second,0,genuine_support
"Antibodies are Y-shaped proteins produced by B cells in the immune system that bind to specific antigens on pathogens, marking them for destruction by other immune cells.",antibodies are part of the immune system,0,genuine_support
"Exposure to ultraviolet radiation from the sun is the primary cause of skin cancer, with cumulative UV damage to skin cell DNA leading to mutations over time.",UV radiation causes skin cancer,0,genuine_support
"The Antarctic ice sheet contains approximately 26.5 million cubic kilometers of ice, representing about 70% of all fresh water on Earth.",Antarctica holds most of Earth's fresh water,0,genuine_support
Extensive sonar surveys of Loch Ness conducted over several decades have found no evidence of any large unknown animal living in the lake.,the Loch Ness monster is real,2,genuine_oppose
"Dermatological research has conclusively shown that shaving has no effect on the thickness, color, or rate of hair regrowth. The stubble that appears after shaving simply lacks the tapered tip of unshaved hair.",shaving makes hair grow back thicker,2,genuine_oppose
"No archaeological evidence supports the claim that Vikings wore horned helmets. The association comes from 19th-century Romantic artists and costume designers, not historical artifacts.",Vikings wore horned helmets,2,genuine_oppose
"Einstein received consistently high marks in mathematics throughout his education. His grade records from the Zurich Polytechnic show top scores in algebra, geometry, and physics.",Einstein failed math in school,2,genuine_oppose
"Canine vision research has demonstrated that dogs possess two types of cone photoreceptors, allowing them to see blue and yellow hues, though they cannot distinguish red from green.",dogs can only see in black and white,2,genuine_oppose
There is no scientific mechanism by which the body accumulates environmental toxins that require special diets to remove. The liver and kidneys continuously filter waste products from the bloodstream.,detox diets are necessary to remove toxins,2,genuine_oppose
"Controlled experiments have shown that the matador's cape color is irrelevant to the bull. Bulls charge at the movement of the cape, not its color, as cattle have limited color perception.",bulls are enraged by the color red,2,genuine_oppose
Ornithologists confirm that most bird species have a very limited sense of smell and cannot detect human scent on their chicks. Parent birds will continue caring for handled nestlings.,touching a baby bird makes its mother abandon it,2,genuine_oppose
Modern historical scholarship has established that educated people in medieval Europe knew the Earth was round. The myth that they believed in a flat Earth is a 19th-century invention.,medieval people thought the Earth was flat,2,genuine_oppose
"Napoleon Bonaparte stood approximately 5 feet 7 inches tall, which was average or slightly above average for a Frenchman of his era. The myth of his shortness originated from British propaganda.",Napoleon was short,2,genuine_oppose
"The Bermuda Triangle, also known as the Devil's Triangle, is a loosely defined region in the western part of the North Atlantic Ocean where a number of aircraft and ships are said to have disappeared under mysterious circumstances.",the Bermuda Triangle causes ships to disappear,1,encyclopedic_neutral
"Bigfoot, also commonly referred to as Sasquatch, is a large ape-like creature that purportedly inhabits the forests of North America. It is one of the most famous examples of cryptozoology.",Bigfoot exists,1,encyclopedic_neutral
"Crop circles are patterns created by flattening crops such as wheat, barley, and corn. They first began appearing in the English countryside during the 1970s and have since been reported worldwide.",crop circles are made by aliens,1,encyclopedic_neutral
"The Loch Ness Monster, affectionately known as Nessie, is a mythical creature said to inhabit Loch Ness in the Scottish Highlands. It is often described as large with a long neck and one or more humps.",the Loch Ness monster is real,1,encyclopedic_neutral
"Area 51 is a highly classified United States Air Force facility within the Nevada Test and Training Range. Due to its secrecy, it has become the subject of numerous conspiracy theories.",Area 51 houses alien technology,1,encyclopedic_neutral
Universal basic income is a social welfare proposal in which all citizens of a given population regularly receive a guaranteed income in the form of an unconditional transfer payment.,universal basic income would reduce poverty,1,encyclopedic_neutral
"The Illuminati were a secret society founded on May 1, 1776, in Bavaria by Adam Weishaupt. The group was outlawed and disbanded in 1785, though conspiracy theories about their continued existence persist.",the Illuminati controls world governments,1,encyclopedic_neutral
Knuckle cracking is the audible release of gas bubbles from the synovial fluid in joints. It is a common habit that some people find satisfying while others find annoying.,cracking your knuckles causes arthritis,1,encyclopedic_neutral
"Chemtrails, short for chemical trails, is a term used in conspiracy discourse to describe the condensation trails left by aircraft. Proponents believe these trails contain chemical agents.",chemtrails are used for population control,1,encyclopedic_neutral
"Electric vehicles are automobiles that are propelled by one or more electric motors, using energy stored in rechargeable batteries. They have seen rapid adoption since the 2010s.",electric cars are better for the environment,1,encyclopedic_neutral
This paper examines the historical and cultural factors that have contributed to the widespread belief that the Bermuda Triangle possesses unusual or supernatural properties.,the Bermuda Triangle has supernatural powers,1,academic_neutral
"We investigate the cognitive and social mechanisms underlying belief in cryptozoological entities, with particular attention to how eyewitness testimony is processed in ambiguous conditions.",Bigfoot exists,1,academic_neutral
"This study analyzes media coverage patterns of conspiracy theories, examining how journalistic framing affects public perception of alternative explanations for major events.",conspiracy theories are usually true,1,academic_neutral
"Our analysis explores the persuasive strategies employed by proponents and opponents of universal basic income across 50 countries, using a corpus of policy documents and public debate transcripts.",universal basic income would reduce poverty,1,academic_neutral
Do lemmings really commit mass suicide? No. This persistent myth was popularized by a 1958 Disney documentary that staged the animals being herded off a cliff.,lemmings commit mass suicide,2,web_debunk
Is it true that you swallow spiders in your sleep? Absolutely not. The claim originated from a 1993 magazine column about how easily misinformation spreads.,humans swallow spiders in their sleep,2,web_debunk
"Does shaving really make hair grow back thicker? This is one of the most common grooming myths, but the answer is no.",shaving makes hair grow back thicker,2,web_debunk
"Are daddy longlegs really the most venomous spiders? This claim is wrong on two counts: they are not spiders, and their venom is not particularly potent.",daddy longlegs are the most venomous spiders,2,web_debunk
Is breakfast really the most important meal of the day? Recent nutritional research suggests this claim was largely popularized by the cereal industry and lacks strong scientific support.,breakfast is the most important meal of the day,2,web_debunk
